_id,usina,inverters[0].name,inverters[0].inverterdatetime,inverters[0].id,inverters[0].data.Device type code,inverters[0].data.Nominal active power_kW,inverters[0].data.Output type,inverters[0].data.Daily power yields_kWh,inverters[0].data.Total power yields_kWh,inverters[0].data.Total running time_h,inverters[0].data.Internal temperature_C,inverters[0].data.Total apparent power_VA,inverters[0].data.MPPT 1 voltage_V,inverters[0].data.MPPT 1 current_A,inverters[0].data.Total DC power_W,inverters[0].data.A-B line voltage/phase A voltage _V,inverters[0].data.B-C line Voltage/phase B Voltage_ V,inverters[0].data.C-A line Voltage/phase C Voltage_V,inverters[0].data.Phase A current_A,inverters[0].data.Phase B current_A,inverters[0].data.Phase C current_A,inverters[0].data.Total active power_W,inverters[0].data.Total reactive power_Var,inverters[0].data.Power factor,inverters[0].data.Grid frequency_Hz,inverters[0].data.Work state,inverters[0].data.Fault/Alarm time: Year,inverters[0].data.Fault/Alarm time: Month,inverters[0].data.Fault/Alarm time: Day,inverters[0].data.Fault/Alarm time: Hour,inverters[0].data.Fault/Alarm time: Minute,inverters[0].data.Fault/Alarm time: Second,inverters[0].data.Fault/Alarm code 1,inverters[0].data.Nominal reactive power_Var,inverters[0].data.Array insulation resistance_kohm,inverters[0].data.Active PowerRegulation Setpoint_W,inverters[0].data.Reactive Power Regulation Setpoint_Var,inverters[0].data.Daily running time,inverters[0].data.Present country,inverters[0].data.Monthly power yields_kWh,inverters[0].data.Work status1,inverters[0].data.Work status2,inverters[0].data.Negative voltage to the ground_V,inverters[0].data.Bus voltage_V,inverters[0].data.Grid frequency2_Hz,inverters[0].data.PID work state,inverters[0].data.PID alarm code,inverters[0].data.System clock: Year,inverters[0].data.System clock: Month,inverters[0].data.System clock: Day,inverters[0].data.System clock: Hour,inverters[0].data.System clock: Minute,inverters[0].data.System clock: Second,inverters[0].data.Start/Stop,inverters[0].data.Power limitation switch,inverters[0].data.Power limitation setting_%,inverters[0].data.Power factor setting,inverters[0].data.Reactive power adjustment mode,inverters[0].data.Reactive power percentage setting_%,inverters[0].data.Power limitation adjustment_kW,inverters[0].data.Reactive power adjustment _kVar,inverters[0].data.PID Recovery,inverters[0].data.Anti-PID,inverters[0].data.Full-Day PID
64db67809c64ebaef18220ab,Ribeirao_Bonito-SP,inverter111,2023-08-15 08:54:39-03:00,111,315,125,2,60.5,90640.5,1474,41.8,71487,1104.4,65.5,73000,622.3,620.3,623.4,66.3,66.2,66.3,71487,-541,1.0,59.9,131073,0,0,0,0,0,0,0,75,5431,125000,0,110,66,12428.7,1,1,0.0,1104.4,59.97,0,0,2023.0,8.0,15.0,8.0,54.0,35.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db69619c64ebaef18220fb,Ribeirao_Bonito-SP,inverter111,2023-08-15 09:02:39-03:00,111,315,125,2,73.7,90653.7,1474,38.9,107135,1101.1,98.8,109085,624.8,621.8,623.9,99.0,99.0,99.0,107135,1213,1.0,60.0,131073,0,0,0,0,0,0,0,75,5431,125000,0,118,66,12441.9,1,1,0.0,1101.1,60.03,0,0,2023.0,8.0,15.0,9.0,2.0,35.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db6b559c64ebaef182214b,Ribeirao_Bonito-SP,inverter111,2023-08-15 09:11:00-03:00,111,315,125,2,89.1,90669.2,1474,40.3,110791,1090.3,103.1,112478,623.9,620.2,623.4,102.5,102.5,102.7,110791,-677,1.0,59.9,131073,0,0,0,0,0,0,0,75,5431,125000,0,126,66,12457.4,1,1,0.0,1090.3,59.98,0,0,2023.0,8.0,15.0,9.0,10.0,56.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db6d399c64ebaef182219b,Ribeirao_Bonito-SP,inverter111,2023-08-15 09:19:03-03:00,111,315,125,2,102.9,90682.9,1474,42.7,101821,1095.5,94.3,103439,623.4,621.7,623.0,94.1,94.3,94.2,101821,676,1.0,60.0,131073,0,0,0,0,0,0,0,75,5431,125000,0,134,66,12471.1,1,1,0.0,1095.5,60.0,0,0,2023.0,8.0,15.0,9.0,18.0,59.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db6f209c64ebaef18221eb,Ribeirao_Bonito-SP,inverter111,2023-08-15 09:27:10-03:00,111,315,125,2,115.1,90695.1,1475,44.3,94260,1102.8,88.0,95695,621.6,620.6,623.0,87.2,87.4,87.3,94260,1377,1.0,60.0,131073,0,0,0,0,0,0,0,75,5431,125000,0,142,66,12483.3,1,1,0.0,1102.8,60.05,0,0,2023.0,8.0,15.0,9.0,27.0,6.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db71069c64ebaef182223b,Ribeirao_Bonito-SP,inverter111,2023-08-15 09:35:16-03:00,111,315,125,2,128.4,90708.4,1475,44.6,110615,1099.9,102.1,112371,623.5,622.4,624.1,102.3,102.3,102.2,110615,1288,1.0,60.0,131073,0,0,0,0,0,0,0,75,5431,125000,0,151,66,12496.6,1,1,0.0,1099.9,60.03,0,0,2023.0,8.0,15.0,9.0,35.0,12.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db73089c64ebaef182228b,Ribeirao_Bonito-SP,inverter111,2023-08-15 09:43:51-03:00,111,315,125,2,144.7,90724.7,1475,46.6,88465,1090.6,83.3,90551,621.1,618.9,622.0,82.1,82.2,82.2,88465,985,1.0,60.0,131073,0,0,0,0,0,0,0,75,5431,125000,0,159,66,12512.9,1,1,0.0,1090.6,60.04,0,0,2023.0,8.0,15.0,9.0,43.0,47.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db74f29c64ebaef18222db,Ribeirao_Bonito-SP,inverter111,2023-08-15 09:52:00-03:00,111,315,125,2,155.8,90735.8,1475,47.8,100525,1101.8,92.6,102056,621.5,619.2,621.6,93.3,93.2,93.2,100525,1705,1.0,60.0,131073,0,0,0,0,0,0,0,75,5431,125000,0,167,66,12524.0,1,1,0.0,1101.3,60.09,0,0,2023.0,8.0,15.0,9.0,51.0,56.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db76ee9c64ebaef182232b,Ribeirao_Bonito-SP,inverter111,2023-08-15 10:00:28-03:00,111,315,125,2,169.4,90749.4,1475,47.6,106288,1097.5,98.4,107907,620.1,618.9,621.3,98.7,98.8,98.7,106288,1275,1.0,60.0,131073,0,0,0,0,0,0,0,75,5431,125000,0,176,66,12537.6,1,1,0.0,1097.5,60.04,0,0,2023.0,8.0,15.0,10.0,0.0,25.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
64db78e19c64ebaef182237b,Ribeirao_Bonito-SP,inverter111,2023-08-15 10:08:47-03:00,111,315,125,2,184.3,90764.5,1475,48.6,88218,1076.8,84.7,90770,617.3,614.7,617.8,82.4,82.4,82.5,87139,1611,1.0,60.0,131073,0,0,0,0,0,0,0,75,5431,125000,0,184,66,12552.7,1,1,0.0,1076.0,60.09,0,0,2023.0,8.0,15.0,10.0,8.0,44.0,207.0,170.0,100.0,0.0,85.0,0.0,125.0,0.0,85.0,85.0,65535.0
